Stock Name,Listing Date
VAIBHAVGBL,06/04/2004
PTC,07/04/2004
BIOCON,07/04/2004
MAHABANK,12/04/2004
DCAL,22/04/2004
POONAWALLA,27/04/2004
XPROINDIA,27/04/2004
RKFORGE,05/05/2004
DATAMATICS,07/05/2004
NDTV,19/05/2004
MURUDCERA,28/05/2004
CCL,07/06/2004
JKTYRE,14/06/2004
AMBICAAGAR,29/06/2004
SUPERSPIN,09/07/2004
APARINDS,12/07/2004
COFORGE,30/08/2004
TEXINFRA,09/09/2004
TEXRAIL,09/09/2004
AVANTEL,20/09/2004
JINDRILL,23/09/2004
DHANI,24/09/2004
GULFPETRO,24/09/2004
REPRO,18/10/2004
INDSWFTLTD,18/10/2004
GUFICBIO,19/10/2004
ASTRAMICRO,01/11/2004
WELENT,04/11/2004
NTPC,05/11/2004
SALSTEEL,24/11/2004
KOTARISUG,13/12/2004
JBMA,17/12/2004
DWARKESH,31/12/2004
INDOCO,14/01/2005
IMPEXFERRO,03/02/2005
SUPRAJIT,18/02/2005
PATELENG,24/02/2005
RANASUG,24/02/2005
RACLGEAR,01/03/2005
SUDARSCHEM,03/03/2005
XCHANGING,09/03/2005
JETAIRWAYS,14/03/2005
BEPL,21/03/2005
ATLASCYCLE,01/04/2005
CURAA,01/04/2005
POCL,01/04/2005
GUJTHEM,01/04/2005
SUPREME,01/04/2005
PRIMO,01/04/2005
BHARATSE,01/04/2005
MASTERTR,01/04/2005
ORCHASP,01/04/2005
NATCAPSUQ,01/04/2005
MOSCHIP,01/04/2005
RUBFILA,01/04/2005
SAURASHCEM,01/04/2005
KRITI,01/04/2005
JPASSOCIAT,01/04/2005
JINDALPHOT,07/04/2005
XTGLOBAL,15/04/2005
ANUHPHR,15/04/2005
JPPOWER,18/04/2005
GABRIEL,20/04/2005
3IINFOLTD,22/04/2005
GOKEX,27/04/2005
MANCREDIT,29/04/2005
UYFINCORP,29/04/2005
SINCLAIR,01/05/2005
ALLDIGI,09/05/2005
SAKSOFT,09/05/2005
IIFL,17/05/2005
SHOPERSTOP,23/05/2005
MANGALAM,23/05/2005
SSWL,06/06/2005
CYBERMEDIA,10/06/2005
SHAHALLOYS,16/06/2005
JKPAPER,16/06/2005
63MOONS,20/06/2005
GRANULES,20/06/2005
JSWHL,21/06/2005
MANINDS,24/06/2005
MAANALU,24/06/2005
GEOJITFSL,01/07/2005
GENUSPOWER,08/07/2005
YESBANK,12/07/2005
SUBROS,13/07/2005
MSPL,18/07/2005
NECLIFE,18/07/2005
SPLIL,26/07/2005
SEMAC,11/08/2005
PRECOT,19/08/2005
GOLDIAM,29/08/2005
RML,30/08/2005
HTMEDIA,01/09/2005
SASKEN,09/09/2005
ICIL,12/09/2005
RAJVIR,20/09/2005
FCSSOFT,21/09/2005
FILATFASH,21/09/2005
UNIVAFOODS,26/09/2005
SUNFLAG,29/09/2005
IMPAL,06/10/2005
SUZLON,19/10/2005
AURIONPRO,25/10/2005
RENUKA,31/10/2005
BASML,14/11/2005
TRIVENI,13/12/2005
AIAENG,14/12/2005
VIMTALABS,15/12/2005
EKC,15/12/2005
NAHARINDUS,15/12/2005
KERNEX,20/12/2005
NAGREEKEXP,22/12/2005
NAGREEKCAP,23/12/2005
NDL,29/12/2005
ASMS,12/01/2006
CELEBRITY,12/01/2006
EDUCOMP,13/01/2006
BALKRISIND,27/01/2006
ANSALAPI,27/01/2006
NITINSPIN,02/02/2006
STERTOOLS,02/02/2006
ROHLTD,06/02/2006
GSPL,16/02/2006
ENIL,16/02/2006
JAGRAN,22/02/2006
GVKPIL,27/02/2006
SADBHAV,01/03/2006
SAKUMA,08/03/2006
RCOM,10/03/2006
JKCEMENT,14/03/2006
INDOTECH,16/03/2006
VISASTEEL,17/03/2006
M&MFIN,17/03/2006
BLKASHYAP,17/03/2006
NITCO,21/03/2006
CENTURYPLY,23/03/2006
KEI,23/03/2006
SANWARIA,27/03/2006
SOLARINDS,03/04/2006
VAKRANGEE,03/04/2006
GALLANTT,04/04/2006
MALUPAPER,05/04/2006
KIRLOSBROS,07/04/2006
GANGOTRI,07/04/2006
UTTAMSUGAR,10/04/2006
SGL,10/04/2006
KKCL,13/04/2006
SUNTV,24/04/2006
GPIL,25/04/2006
RSYSTEMS,26/04/2006
EMKAY,28/04/2006
TICL,29/04/2006
RELIABLE,02/05/2006
LOKESHMACH,05/05/2006
BALPHARMA,08/05/2006
RATNAMANI,09/05/2006
KAMDHENU,09/05/2006
SWELECTES,09/05/2006
PIONEEREMB,16/05/2006
JKLAKSHMI,19/06/2006
PFOCUS,20/06/2006
SANGHIIND,23/06/2006
ALLCARGO,23/06/2006
SIMBHALS,27/06/2006
CYIENT,28/07/2006
EMAMILTD,03/08/2006
WENDT,07/08/2006
GMRAIRPORT,21/08/2006
TECHM,28/08/2006
GRINDWELL,11/09/2006
DYNAMATECH,14/09/2006
MANUGRAPH,14/09/2006
VOLTAMP,20/09/2006
ATLANTAA,25/09/2006
ACE,26/09/2006
LAKPRE,26/09/2006
SELAN,26/09/2006
AJMERA,27/09/2006
ANANTRAJ,27/09/2006
HOVS,27/09/2006
ELECON,29/09/2006
TALBROAUTO,29/09/2006
ALICON,03/10/2006
GEECEE,04/10/2006
MADHUCON,05/10/2006
DOLPHIN,06/10/2006
MBECL,06/10/2006
JMFINANCIL,10/10/2006
ACLGATI,10/10/2006
FIEMIND,19/10/2006
JHS,23/10/2006
DCBBANK,27/10/2006
GLOBALVECT,27/10/2006
INSPIRISYS,30/10/2006
AARVEEDEN,21/11/2006
NAUKRI,21/11/2006
BBL,21/11/2006
SHIVAMAUTO,21/11/2006
TORNTPOWER,28/11/2006
PARSVNATH,30/11/2006
FELDVR,12/12/2006
VENUSREM,20/12/2006
RUCHIRA,20/12/2006
DONEAR,20/12/2006
SOBHA,20/12/2006
MMFL,20/12/2006
BANCOINDIA,22/12/2006
HIRECT,27/12/2006
CREST,27/12/2006
PLASTIBLEN,28/12/2006
NFL,28/12/2006
PRAENG,03/01/2007
PARACABLES,03/01/2007
RAJRILTD,04/01/2007
HBLENGINE,04/01/2007
TANLA,05/01/2007
AVTNPL,10/01/2007
SITINET,10/01/2007
LUMAXTECH,16/01/2007
VEEDOL,16/01/2007
SARLAPOLY,19/01/2007
SANGHVIMOV,24/01/2007
WANBURY,29/01/2007
SAGCEM,29/01/2007
PTL,29/01/2007
IGPL,29/01/2007
GANDHITUBE,31/01/2007
AUTOIND,31/01/2007
UNOMINDA,02/02/2007
PITTIENG,02/02/2007
IZMO,05/02/2007
HUBTOWN,07/02/2007
CTE,07/02/2007
TIIL,12/02/2007
TVSSRICHAK,13/02/2007
CINELINE,14/02/2007
ORIENTBELL,14/02/2007
REDINGTON,15/02/2007
PGIL,15/02/2007
FSL,22/02/2007
TTL,22/02/2007
PFC,23/02/2007
TFL,26/02/2007
SMSPHARMA,28/02/2007
INDIANB,01/03/2007
GANESHHOUC,02/03/2007
HSCL,02/03/2007
ORIENTALTL,07/03/2007
PUNJABCHEM,08/03/2007
IDEA,09/03/2007
PAGEIND,16/03/2007
LAOPALA,16/03/2007
RAJTV,16/03/2007
AMDIND,19/03/2007
ASTRAL,20/03/2007
EMBDL,23/03/2007
TECHNOE,02/04/2007
THEMISMED,02/04/2007
NCLIND,03/04/2007
EQUIPPP,03/04/2007
BALAMINES,05/04/2007
BANSWRAS,11/04/2007
ICRA,13/04/2007
DISHTV,18/04/2007
PHOENIXLTD,23/04/2007
AROGRANITE,24/04/2007
ZENITHSTL,30/04/2007
BFUTILITIE,03/05/2007
SRHHYPOLTD,08/05/2007
FORTIS,09/05/2007
ALPHAGEO,11/05/2007
WEBELSOLAR,15/05/2007
TGBHOTELS,17/05/2007
HILTON,24/05/2007
INSECTICID,30/05/2007
MICEL,30/05/2007
NAVINFLUOR,01/06/2007
GUJAPOLLO,04/06/2007
GOACARBON,05/06/2007
TIMETECHNO,13/06/2007
ADVANIHOTR,25/06/2007
NELCAST,27/06/2007
V2RETAIL,04/07/2007
DLF,05/07/2007
TARMAT,09/07/2007
MEGASOFT,19/07/2007
HDIL,24/07/2007
ADSL,25/07/2007
WSI,01/08/2007
ALPA,06/08/2007
VIPCLOTHNG,06/08/2007
NAVKARURB,06/08/2007
OMAXE,09/08/2007
ELECTHERM,20/08/2007
VHLTD,21/08/2007
LLOYDSENT,21/08/2007
SELMC,21/08/2007
CENTRALBK,21/08/2007
ASIANTILES,23/08/2007
NTL,24/08/2007
TAKE,27/08/2007
KPRMILL,28/08/2007
CIEINDIA,30/08/2007
PURVA,30/08/2007
MOTILALOFS,11/09/2007
INDOWIND,14/09/2007
MAGNUM,20/09/2007
KSCL,04/10/2007
POWERGRID,05/10/2007
CCCL,15/10/2007
SUPREMEINF,18/10/2007
MANGCHEFER,22/10/2007
IL&FSENGG,25/10/2007
ENERGYDEV,02/11/2007
DELTACORP,02/11/2007
CERA,02/11/2007
BAJAJELEC,02/11/2007
GOCLCORP,08/11/2007
RELIGARE,21/11/2007
BVCL,23/11/2007
ALKYLAMINE,26/11/2007
ADANIPORTS,27/11/2007
MORARJEE,03/12/2007
EDELWEISS,12/12/2007
RGL,12/12/2007
KOLTEPATIL,13/12/2007
KAUSHALYA,14/12/2007
JYOTHYLAB,19/12/2007
KALYANIFRG,20/12/2007
MADHAV,20/12/2007
HITECHCORP,20/12/2007
TARIL,28/12/2007
ECLERX,31/12/2007
BRIGADE,31/12/2007
UMESLTD,01/01/2008
LGBBROSLTD,01/01/2008
DSSL,01/01/2008
RBL,01/01/2008
KMSUGAR,01/01/2008
VINYLINDIA,01/01/2008
ELGIRUBCO,01/01/2008
BGRENERGY,03/01/2008
BURNPUR,03/01/2008
MANAKSIA,08/01/2008
ARIES,11/01/2008
DVL,11/01/2008
PPAP,11/01/2008
PATINTLOG,11/01/2008
SKIL,25/01/2008
CUBEXTUB,25/01/2008
KAVVERITEL,29/01/2008
AMBIKCO,29/01/2008
CEATLTD,01/02/2008
BIRLAMONEY,07/02/2008
RPOWER,11/02/2008
JKIL,12/02/2008
CORDSCABLE,13/02/2008
KNRCON,18/02/2008
ONMOBILE,19/02/2008
BANG,20/02/2008
SEPC,20/02/2008
HERCULES,20/02/2008
IRB,25/02/2008
NMDC,03/03/2008
SHALPAINTS,03/03/2008
GSS,07/03/2008
3PLAND,11/03/2008
NAHARCAP,11/03/2008
RECLTD,12/03/2008
VGUARD,13/03/2008
NESCO,08/04/2008
EIHAHOTELS,08/04/2008
DPSCLTD,21/04/2008
TITAGARH,21/04/2008
KIRIINDUS,22/04/2008
ANIKINDS,21/05/2008
DIGISPICE,27/05/2008
GOKUL,04/06/2008
ALMONDZ,16/06/2008
RANEENGINE,24/06/2008
ARCHIDPLY,04/07/2008
LOTUSEYE,11/07/2008
UBL,28/07/2008
KOKUYOCMLN,28/07/2008
LPDC,12/08/2008
20MICRONS,06/10/2008
JOCIL,08/10/2008
INDBANK,08/10/2008
NEULANDLAB,13/10/2008
KICL,21/10/2008
KSL,21/10/2008
ALKALI,06/11/2008
TPHQ,19/02/2009
MAWANASUG,20/03/2009
HINDNATGLS,15/04/2009
PAISALO,16/06/2009
MHRIL,16/07/2009
CIFL,23/07/2009
VINATIORGA,28/07/2009
EXCEL,03/08/2009
ROML,12/08/2009
ADANIPOWER,20/08/2009
NHPC,01/09/2009
GLOBUSSPR,23/09/2009
OIL,30/09/2009
SWANDEF,09/10/2009
EXPLEOSOL,26/10/2009
RTNPOWER,30/10/2009
AMRUTANJAN,05/11/2009
ZYDUSWELL,13/11/2009
SUNTECK,13/11/2009
DEN,24/11/2009
