Symbol,CompanyID
INDIGOPNTS,1274826
INDUSINVIT,1284696
TARC,1274820
KENNAMET,1750
PARAS,1274969
GUJALKALI,1224
E2E,1274346
AWFIS,1284789
ZAGGLE,1284492
RALLIS,2650
SKYGOLD,1274565
UNIMECH,1285207
SUNCLAY,1284624
CEIGALL,1284882
OPTIEMUS,2342
PGIL,2445
GREAVESCOT,1206
WONDERLA,840292
DBCORP,770
SUNFLAG,3257
VIPIND,3670
MTARTECH,1274841
HEIDELBERG,1302
DCBBANK,796
INDIAGLYCO,1422
UNICHEMLAB,3531
DYNAMATECH,865
NPST,1274899
ORCHPHARMA,2347
NFL,2205
LUXIND,1273134
INDOSTAR,1274348
VRLLOG,1270824
EASEMYTRIP,1274843
NEOGEN,1274657
BALAMINES,380
MPSLTD,2140
NDRINVIT,1284686
JAYNECOIND,1596
UFLEX,3522
GOCOLORS,1275106
GOLDIAM,1177
BHARATRAS,463
FIEMIND,1012
GANECOS,1092
BHAGCHEM,445
POLYPLEX,2514
MCLOUD,1236192
GRAUWEIL,1200
SUBROS,3225
SAMHI,1284485
JASH,1274170
LGBBROSLTD,1881
SHANTIGEAR,2960
ROSSARI,1274766
GUFICBIO,1223
INDRAMEDCO,1472
HEMIPROP,1274804
PATELENG,2433
HERITGFOOD,1307
BOROLTD,1274765
SEQUENT,2938
VAIBHAVGBL,3590
CIGNITITEC,652
RSYSTEMS,2612
MSTCLTD,1274642
SANATHAN,1285202
JISLJALEQS,1576
ROLEXRINGS,1274897
CYIENTDLM,1284402
LUMAXTECH,1920
ARTEMISMED,1274726
KINGFA,1378
EIEL,1285170
NSIL,2194
CARERATING,244883
IMAGICAA,1270791
DATAMATICS,766
DHANI,1435
GOKULAGRO,1273279
GOPAL,1284708
GREENPLY,1209
JTEKTINDIA,3125
EMSLIMITED,1284479
APOLLO,1274254
HARSHA,1275304
RPGLIFE,2790
EPACK,1284639
PITTIENG,2489
KDDL,1739
NORTHARC,1284990
AXISCADES,350
MOREPENLAB,516
NACLIND,2181
BBL,455
RAMKY,2663
SHAREINDIA,1274160
PARKHOTELS,1284660
FEDFINA,1284570
STLTECH,3209
IMFA,1447
ASHAPURMIN,269
JAMNAAUTO,1585
PANACEABIO,2394
DPABHUSHAN,1274183
KIRIINDUS,1786
NAVNETEDUL,2219
TCPLPACK,3384
